         33841 function calls (33739 primitive calls) in 80.793 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.047    0.047 extraction.py:103(basic_rotations)
      273    0.036    0.000    0.047    0.000 function_base.py:2945(add_newdoc)
        8    0.001    0.000    0.046    0.006 __init__.py:102(Pipe)
        2    0.005    0.003    0.044    0.022 connection.py:35(<module>)
        1    0.000    0.000    0.039    0.039 preprocessing.py:165(get_perspective)
        1    0.002    0.002    0.036    0.036 extraction.py:1(<module>)
        1    0.003    0.003    0.034    0.034 __init__.py:7(<module>)
        6    0.000    0.000    0.032    0.005 string.py:148(substitute)
        6    0.024    0.004    0.032    0.005 {method 'sub' of '_sre.SRE_Pattern' objects}
      132    0.002    0.000    0.029    0.000 re.py:230(_compile)
        1    0.022    0.022    0.029    0.029 polynomial.py:55(<module>)
        1    0.005    0.005    0.028    0.028 __init__.py:45(<module>)
        1    0.028    0.028    0.028    0.028 {adaptiveThreshold}
        1    0.017    0.01         25837 function calls (25735 primitive calls) in 80.595 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.035    0.035   80.562   80.562 mainprocess.py:1(<module>)
        1    0.002    0.002   79.403   79.403 extraction.py:515(get_all_fragments)
       14    0.022    0.002   79.349    5.668 extraction.py:277(get_fragment)
       14    0.003    0.000   78.164    5.583 __init__.py:227(Pool)
       14    0.010    0.001   78.155    5.582 pool.py:136(__init__)
       14    0.026    0.002   77.956    5.568 pool.py:210(_repopulate_pool)
       56    0.060    0.001   77.895    1.391 process.py:116(start)
       56    0.017    0.000   77.741    1.388 forking.py:116(__init__)
        1    0.152    0.152   77.145   77.145 process.py:241(_bootstrap)
        1    0.000    0.000   70.751   70.751 process.py:109(run)
        1    0.021    0.021   70.751   70.751 pool.py:88(worker)
        2    0.000    0.000   70.725   35.363 queues.py:373(get)
        3   70.712   23.571   70.712   23.571 {method 'acquire' of '_multiprocessing.SemLock' objects}
        1    0.000    0.000    6.139    6.139 traceback.py:225(print_exc)
        1    0.000    0.000    6.139    6.139 traceback.py:110(print_exception)
        1    0.001    0.001    6.137    6.137 traceback.py:46(print_tb)
        9    5.992    0.666    5.992    0.666 {method 'write' of 'file' objects}
        8    0.000    0.000    5.987    0.748 traceback.py:12(_print)
       52    0.004    0.000    1.009    0.019 threading.py:309(wait)
      327    1.005    0.003    1.005    0.003 {method 'acquire' of 'thread.lock' objects}
       13    0.001    0.000    0.977    0.075 pool.py:246(map)
       13    0.000    0.000    0.968    0.074 pool.py:551(get)
       13    0.000    0.000    0.968    0.074 pool.py:543(wait)
        1    0.334    0.334    0.798    0.798 preprocessing.py:1(<module>)
       56    0.544    0.010    0.562    0.010 {posix.fork}
        1    0.010    0.010    0.463    0.463 __init__.py:106(<module>)
        3    0.037    0.012    0.291    0.097 __init__.py:1(<module>)
        1    0.002    0.002    0.226    0.226 add_newdocs.py:10(<module>)
        1    0.007    0.007    0.168    0.168 __init__.py:15(<module>)
        1    0.162    0.162    0.162    0.162 {imread}
       97    0.003    0.000    0.147    0.002 extraction.py:619(get_singular_energy)
        1    0.002    0.002    0.113    0.113 type_check.py:3(<module>)
       58    0.023    0.000    0.093    0.002 process.py:76(_cleanup)
        3    0.000    0.000    0.091    0.030 linecache.py:13(getline)
        3    0.000    0.000    0.091    0.030 linecache.py:33(getlines)
        2    0.007    0.003    0.091    0.045 linecache.py:68(updatecache)
        1    0.000    0.000    0.084    0.084 util.py:294(_exit_function)
        2    0.038    0.019    0.083    0.042 util.py:250(_run_finalizers)
       14    0.002    0.000    0.080    0.006 pool.py:232(_setup_queues)
       97    0.004    0.000    0.075    0.001 extraction.py:80(get_second_singular)
       28    0.002    0.000    0.074    0.003 queues.py:350(__init__)
        1    0.004    0.004    0.073    0.073 preprocessing.py:86(get_contour)
       97    0.052    0.001    0.071    0.001 linalg.py:1225(svd)
       97    0.067    0.001    0.070    0.001 extraction.py:72(get_total_energy_of_block)
     1540    0.031    0.000    0.069    0.000 forking.py:131(poll)
        3    0.059    0.020    0.060    0.020 linecache.py:43(checkcache)
       39    0.004    0.000    0.058    0.001 threading.py:726(start)
       28    0.003    0.000    0.050    0.002 __init__.py:102(Pipe)
        2    0.014    0.007    0.050    0.025 __init__.py:44(<module>)
        1    0.000    0.000    0.050    0.050 preprocessing.py:72(get_edged)
