21.398086071
         51805 function calls (51384 primitive calls) in 22.494 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _import_tools.py:9(PackageLoader)
       79    0.001    0.000    0.001    0.000 _inspect.py:133(strseq)
       35    0.001    0.000    0.002    0.000 _inspect.py:142(formatargspec)
        7    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
        5    0.000    0.000    0.000    0.000 _inspect.py:145(<lambda>)
       44    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
       40    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
       35    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
       35    0.001    0.000    0.001    0.000 _inspect.py:67(getargs)
        1    0.000    0.000    0.000    0.000 _inspect.py:7(<module>)
       40    0.001    0.000    0.002    0.000 _inspect.py:98(getargspec)
        1    0.000    0.000    0.000    0.000 _internal.py:200(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:219(_missing_ctypes)
        1    0.000    0.000    0.000    0.000 _internal.py:226(_ctypes)
        1    0.003    0.003    0.025    0.025 _internal.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:631(TooHardError)
        1    0.000    0.000    0.000    0.000 _iotools.py:154(LineSplitter)
        1    0.000    0.000    0.000    0.000 _iotools.py:250(NameValidator)
        1    0.001    0.001    0.001    0.001 _iotools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:444(ConverterError)
        1    0.000    0.000    0.000    0.000 _iotools.py:452(ConverterLockError)
        1    0.000    0.000    0.000    0.000 _iotools.py:460(ConversionWarning)
        1    0.000    0.000    0.000    0.000 _iotools.py:473(StringConverter)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
        1    0.000    0.000    0.001    0.001 _polybase.py:8(<module>)
        1    0.000    0.000    0.000    0.000 _version.py:18(NumpyVersion)
        1    0.000    0.000    0.000    0.000 _version.py:7(<module>)
       35    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       35    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       35    0.000    0.000    0.001    0.000 _weakrefset.py:26(__exit__)
      105    0.002    0.000    0.002    0.000 _weakrefset.py:36(__init__)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:38(_remove)
       35    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       66    0.001    0.000    0.002    0.000 _weakrefset.py:58(__iter__)
      113    0.001    0.000    0.001    0.000 _weakrefset.py:70(__contains__)
       72    0.001    0.000    0.001    0.000 _weakrefset.py:83(add)
       16    0.000    0.000    0.005    0.000 abc.py:105(register)
       64    0.001    0.000    0.002    0.000 abc.py:128(__instancecheck__)
    37/20    0.002    0.000    0.005    0.000 abc.py:148(__subclasscheck__)
       49    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
       25    0.009    0.000    0.020    0.001 abc.py:86(__new__)
       81    0.001    0.000    0.004    0.000 abc.py:89(<genexpr>)
        1    0.002    0.002    0.198    0.198 add_newdocs.py:10(<module>)
      100    0.010    0.000    0.021    0.000 array.py:101(bytes_to_rgb)
        1    0.000    0.000    0.000    0.000 array.py:119(PiArrayOutput)
        1    0.000    0.000    0.000    0.000 array.py:136(__init__)
      100    0.005    0.000    0.037    0.000 array.py:146(truncate)
        1    0.000    0.000    0.000    0.000 array.py:170(PiRGBArray)
      100    0.006    0.000    0.215    0.002 array.py:222(flush)
        1    0.000    0.000    0.000    0.000 array.py:227(PiYUVArray)
        1    0.002    0.002    0.281    0.281 array.py:30(<module>)
        1    0.000    0.000    0.000    0.000 array.py:303(PiBayerArray)
        1    0.000    0.000    0.000    0.000 array.py:441(PiMotionArray)
        1    0.000    0.000    0.000    0.000 array.py:510(PiAnalysisOutput)
        1    0.000    0.000    0.000    0.000 array.py:550(PiRGBAnalysis)
        1    0.000    0.000    0.000    0.000 array.py:582(PiYUVAnalysis)
      100    0.002    0.000    0.002    0.000 array.py:61(raw_resolution)
        1    0.000    0.000    0.000    0.000 array.py:616(PiMotionAnalysis)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        1    0.003    0.003    0.004    0.004 arrayprint.py:5(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:528(FloatFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:634(IntegerFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:654(LongFloatFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:684(LongComplexFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:695(ComplexFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:712(DatetimeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:733(TimedeltaFormat)
        1    0.000    0.000    0.000    0.000 arraysetops.py:26(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:20(Arrayterator)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 ascii.py:13(Codec)
        1    0.000    0.000    0.000    0.000 ascii.py:20(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 ascii.py:24(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 ascii.py:28(StreamWriter)
        1    0.000    0.000    0.000    0.000 ascii.py:31(StreamReader)
        1    0.000    0.000    0.000    0.000 ascii.py:34(StreamConverter)
        1    0.000    0.000    0.000    0.000 ascii.py:41(getregentry)
        1    0.000    0.000    0.001    0.001 ascii.py:8(<module>)
        1    0.000    0.000    0.000    0.000 atexit.py:37(register)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        1    0.001    0.001    0.001    0.001 base64.py:3(<module>)
        1    0.000    0.000    0.002    0.002 bcm_host.py:34(<module>)
        1    0.000    0.000    0.000    0.000 camera.py:100(PiCameraMaxResolution)
        1    0.000    0.000    0.000    0.000 camera.py:107(PiCameraMaxFramerate)
        1    0.001    0.001    0.002    0.002 camera.py:114(PiCamera)
      101    0.003    0.000    9.450    0.094 camera.py:1505(capture_continuous)
       25    0.000    0.000    0.000    0.000 camera.py:1677(closed)
        1    0.000    0.000    0.000    0.000 camera.py:1684(recording)
        1    0.000    0.000    0.000    0.000 camera.py:1691(<genexpr>)
        1    0.000    0.000    0.000    0.000 camera.py:1710(exif_tags)
        1    0.000    0.000    0.029    0.029 camera.py:1914(_disable_camera)
        1    0.000    0.000    0.082    0.082 camera.py:1923(_enable_camera)
        1    0.000    0.000    0.001    0.001 camera.py:1933(_configure_splitter)
        2    0.001    0.001    0.020    0.010 camera.py:1958(_configure_camera)
        1    0.000    0.000    0.000    0.000 camera.py:2051(_get_framerate)
        1    0.000    0.000    0.000    0.000 camera.py:2124(_get_sensor_mode)
        1    0.000    0.000    0.000    0.000 camera.py:2173(_get_clock_mode)
        1    0.000    0.000    0.000    0.000 camera.py:2208(_get_resolution)
        1    0.000    0.000    0.119    0.119 camera.py:2214(_set_resolution)
        1    0.000    0.000    0.000    0.000 camera.py:2369(_set_saturation)
        1    0.000    0.000    0.001    0.001 camera.py:2388(_set_sharpness)
        1    0.000    0.000    0.001    0.001 camera.py:2408(_set_contrast)
        1    0.000    0.000    0.000    0.000 camera.py:2426(_set_brightness)
        1    0.000    0.000    0.000    0.000 camera.py:2618(_set_iso)
        1    0.000    0.000    0.000    0.000 camera.py:2676(_set_meter_mode)
        1    0.000    0.000    0.000    0.000 camera.py:2710(_set_video_stabilization)
        1    0.000    0.000    0.000    0.000 camera.py:2736(_set_exposure_compensation)
        1    0.000    0.000    0.001    0.001 camera.py:2766(_set_exposure_mode)
