         55031 function calls (53739 primitive calls) in 5.647 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.010    0.010    0.013    0.013 arrayprint.py:5(<module>)
     2824    0.010    0.000    0.012    0.000 {isinstance}
        1    0.000    0.000    0.012    0.012 camera.py:483(_init_splitter)
        1    0.005    0.005    0.012    0.012 pool.py:35(<module>)
        1    0.004    0.004    0.011    0.011 pickle.py:25(<module>)
        1    0.006    0.006    0.011    0.011 result.py:1(<module>)
       44    0.011    0.000    0.011    0.000 {numpy.core.multiarray.array}
        1    0.011    0.011    0.011    0.011 numerictypes.py:451(_set_array_types)
        1    0.010    0.010    0.011    0.011 socket.py:45(<module>)
        1    0.000    0.000    0.010    0.010 polynomial.py:1517(Polynomial)
        1    0.002    0.002    0.010    0.010 _pyio.py:3(<module>)
     6171    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
      275    0.009    0.000    0.010    0.000 {__import__}
        5    0.007    0.001    0.010    0.002 mmalobj.py:441(__init__)
        1    0.006    0.006    0.010    0.010 __init__.py:3(<module>)
        1    0.000    0.000    0.009    0.009 camera.py:466(_init_defaults)
        2    0.003    0.001    0.009    0.005 __init__.py:28(logger)
        2    0.009    0.004    0.009    0.005 __init__.py:10(<module>)
        1    0.009    0.009    0.009    0.009 shutil.py:5(<module>)
        1    0.000    0.000    0.009    0.009 selector.py:22(<module>)
        1    0.000    0.000    0.009    0.009 selector.py:24(Selector)
    53/36    0.003    0.000    0.009    0.000 abc.py:148(__subclasscheck__)
        1    0.004    0.004    0.009    0.009 mmalobj.py:34(<module>)
       37    0.008    0.000    0.009    0.000 mmalobj.py:994(__setitem__)
      684    0.006    0.000    0.009    0.000 mimetypes.py:78(add_type)
        5    0.000    0.000    0.008    0.002 warnings.py:46(filterwarnings)
     1883    0.008    0.000    0.008    0.000 {getattr}
     1134    0.004    0.000    0.008    0.000 sre_parse.py:204(match)
        1    0.000    0.000    0.008    0.008 random.py:91(__init__)
   144/79    0.001    0.000    0.008    0.000 {issubclass}
        1    0.000    0.000    0.008    0.008 random.py:100(seed)
       21    0.000    0.000    0.008    0.000 abc.py:105(register)
        1    0.003    0.003    0.007    0.007 color.py:30(<module>)
        1    0.000    0.000    0.007    0.007 core.py:2642(MaskedArray)
        1    0.000    0.000    0.007    0.007 difflib.py:27(<module>)
        1    0.000    0.000    0.007    0.007 renderers.py:72(__init__)
        9    0.006    0.001    0.006    0.001 core.py:2480(_arraymethod)
       10    0.006    0.001    0.006    0.001 mmalobj.py:744(commit)
       88    0.001    0.000    0.006    0.000 __init__.py:375(__getattr__)
       40    0.001    0.000    0.006    0.000 core.py:108(get_object_signature)
        1    0.002    0.002    0.006    0.006 pool.py:722(ThreadPool)
       93    0.006    0.000    0.006    0.000 {built-in method __new__ of type object at 0x2d4c48}
        1    0.005    0.005    0.006    0.006 collections.py:1(<module>)
        1    0.006    0.006    0.006    0.006 {function seed at 0x71d29ab0}
      117    0.001    0.000    0.006    0.000 re.py:138(match)
        1    0.005    0.005    0.006    0.006 __init__.py:24(<module>)
        1    0.001    0.001    0.006    0.006 core.py:9(<module>)
        2    0.005    0.003    0.006    0.003 function_base.py:1(<module>)
        1    0.001    0.001    0.006    0.006 frames.py:30(<module>)
       23    0.000    0.000    0.005    0.000 core.py:6343(__init__)
       93    0.002    0.000    0.005    0.000 abc.py:89(<genexpr>)
        3    0.000    0.000    0.005    0.002 mmalobj.py:1459(__init__)
        1    0.001    0.001    0.005    0.005 utils.py:1(<module>)
      114    0.001    0.000    0.005    0.000 mmal.py:73(MMAL_FOURCC)
        1    0.000    0.000    0.005    0.005 bcm_host.py:34(<module>)
        1    0.002    0.002    0.005    0.005 main.py:1(<module>)
       23    0.001    0.000    0.005    0.000 core.py:6348(getdoc)
        1    0.005    0.005    0.005    0.005 __init__.py:21(<module>)
        1    0.005    0.005    0.005    0.005 fftpack.py:32(<module>)
      485    0.004    0.000    0.005    0.000 urllib.py:1212(<genexpr>)
