         11571 function calls (11450 primitive calls) in 1.669 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
1032/1010    0.002    0.000    0.002    0.000 {len}
        1    0.000    0.000    0.002    0.002 hermite_e.py:59(<module>)
        3    0.001    0.000    0.002    0.001 numeric.py:358(extend_all)
        1    0.001    0.001    0.002    0.002 __init__.py:265(_reset_cache)
        1    0.001    0.001    0.002    0.002 ctypeslib.py:51(<module>)
        1    0.002    0.002    0.002    0.002 heapq.py:31(<module>)
        1    0.000    0.000    0.002    0.002 _polybase.py:8(<module>)
        9    0.000    0.000    0.002    0.000 extras.py:231(__init__)
       19    0.001    0.000    0.002    0.000 nosetester.py:179(__init__)
        9    0.000    0.000    0.001    0.000 extras.py:235(getdoc)
        1    0.001    0.001    0.001    0.001 shutil.py:5(<module>)
        1    0.001    0.001    0.001    0.001 {posix.urandom}
       43    0.001    0.000    0.001    0.000 _weakrefset.py:58(__iter__)
        1    0.001    0.001    0.001    0.001 _iotools.py:3(<module>)
        1    0.001    0.001    0.001    0.001 extraction.py:1(<module>)
        1    0.000    0.000    0.001    0.001 hermite.py:59(<module>)
      268    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 chebyshev.py:87(<module>)
        1    0.000    0.000    0.001    0.001 laguerre.py:59(<module>)
        1    0.000    0.000    0.001    0.001 legendre.py:83(<module>)
       31    0.001    0.000    0.001    0.000 _inspect.py:67(getargs)
        1    0.001    0.001    0.001    0.001 numerictypes.py:285(_add_types)
       27    0.001    0.000    0.001    0.000 core.py:860(__init__)
      512    0.001    0.000    0.001    0.000 {chr}
       64    0.001    0.000    0.001    0.000 _weakrefset.py:36(__init__)
        1    0.001    0.001    0.001    0.001 linalg.py:76(_determine_error_states)
        8    0.000    0.000    0.001    0.000 core.py:7709(__init__)
        1    0.000    0.000    0.001    0.001 stride_tricks.py:7(<module>)
      115    0.001    0.000    0.001    0.000 sre_parse.py:204(match)
       14    0.001    0.000    0.001    0.000 __init__.py:147(_check_size)
       51    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        8    0.000    0.000    0.001    0.000 core.py:7714(getdoc)
        1    0.001    0.001    0.001    0.001 __init__.py:349(__init__)
        1    0.001    0.001    0.001    0.001 _endian.py:4(<module>)
      137    0.001    0.000    0.001    0.000 sre_parse.py:147(append)
